id,database,title,authors,year,journal_type,journal,citations,url,pdf
51,Google Scholar,Readability and quality of wikipedia pages on neurosurgical topics,"O Modiri, D Guha, NM Alotaibi, GM Ibrahim…",2018,unknown,"Clinical neurology and …, 2018",32,https://www.sciencedirect.com/science/article/pii/S0303846718300271,N/A
52,Google Scholar,The quality of open source production: Zealots and good samaritans in the case of Wikipedia,"D Anthony, SW Smith, T Williamson",2007,unknown,2007,71,https://digitalcommons.dartmouth.edu/cs_tr/306/,https://digitalcommons.dartmouth.edu/cgi/viewcontent.cgi?article=1308&context=cs_tr
53,Google Scholar,Wikipedia and Westminster: Quality and dynamics of Wikipedia pages about UK politicians,"P Agarwal, M Redi, N Sastry, E Wood…",2020,Conference,"Proceedings of the 31st …, 2020",9,https://dl.acm.org/doi/abs/10.1145/3372923.3404817,https://arxiv.org/pdf/2006.13400
54,Google Scholar,Network analysis of user generated content quality in Wikipedia,"M Ingawale, A Dutta, R Roy…",2013,unknown,"Online Information …, 2013",30,https://www.emerald.com/insight/content/doi/10.1108/OIR-03-2011-0182/full/html,N/A
55,Google Scholar,Improving the quality of consumer health information on Wikipedia: case series,"SS Weiner, J Horbacewicz, L Rasberry…",2019,Journal,"Journal of medical …, 2019",19,https://www.jmir.org/2019/3/e12450/,N/A
56,Google Scholar,Explaining quality in internet collective goods: Zealots and good samaritans in the case of wikipedia,"D Anthony, SW Smith, T Williamson",2005,unknown,"Hanover: Dartmouth College, 2005",122,https://www.academia.edu/download/40145429/anthony.pdf,https://www.academia.edu/download/40145429/anthony.pdf
57,Google Scholar,Knowledge categorization affects popularity and quality of Wikipedia articles,"J Lerner, A Lomi",2018,unknown,"PloS one, 2018",27,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190674,N/A
58,Google Scholar,On improving wikipedia search using article quality,"M Hu, EP Lim, A Sun, HW Lauw…",2007,Conference,"Proceedings of the 9th …, 2007",30,https://dl.acm.org/doi/abs/10.1145/1316902.1316926,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=2263&context=sis_research
59,Google Scholar,Computational trust in Web content quality: a comparative evalutation on the Wikipedia project,"P Dondio, S Barrett",2007,unknown,"Informatica, 2007",60,https://informatica.si/index.php/informatica/article/download/137/129,https://informatica.si/index.php/informatica/article/download/137/129
60,Google Scholar,Mutual evaluation of editors and texts for assessing quality of Wikipedia articles,"Y Suzuki, M Yoshikawa",2012,Conference,"Proceedings of the Eighth Annual International …, 2012",29,https://dl.acm.org/doi/abs/10.1145/2462932.2462956,https://www.opensym.org/ws2012/p10wikisym2012.pdf
61,Google Scholar,Mining the factors affecting the quality of Wikipedia articles,"K Wu, Q Zhu, Y Zhao, H Zheng",2010,Conference,"2010 International Conference …, 2010",18,https://ieeexplore.ieee.org/abstract/document/5572324/,N/A
62,Google Scholar,Measures for quality assessment of articles and infoboxes in multilingual Wikipedia,W Lewoniewski,2018,Conference,"Business Information Systems Workshops: BIS 2018 …, 2019",14,https://link.springer.com/chapter/10.1007/978-3-030-04849-5_53,http://lewoniewski.info/files/wikipedia2019.pdf
